_ID,TimeSt,Country,Province,City,Latitude,Longitude,POIID,Latitude2,Longitude2,distance,min(distance)
4611033,04:54.7,CA,ON,Pembroke,45.827,-77.1116,POI3,45.521629,-73.566024,278.31235,278.31235
4611084,04:54.9,CA,ON,Niagara Falls,43.0966,-79.1276,POI3,45.521629,-73.566024,518.9766,518.9766
4611114,04:55.7,CA,QC,Montréal,45.5378,-73.6941,POI3,45.521629,-73.566024,10.165054,10.165054
4611207,04:55.9,CA,QC,Montréal,45.5378,-73.6941,POI3,45.521629,-73.566024,10.165054,10.165054
4611221,04:51.3,CA,AB,Sherwood Park,53.52284,-113.33213,POI1,53.546167,-113.485734,10.51043,10.51043
4611304,04:53.7,CA,ON,Acton,43.6319,-80.0378,POI3,45.521629,-73.566024,555.0524,555.0524
4611353,04:54.6,CA,ON,Woodbridge,43.8069,-79.5978,POI3,45.521629,-73.566024,514.7442,514.7442
4611366,04:54.7,CA,ON,Ottawa,45.3745,-75.7095,POI3,45.521629,-73.566024,168.47417,168.47417
4611405,04:54.7,CA,ON,Niagara Falls,43.0778,-79.0898,POI3,45.521629,-73.566024,517.55475,517.55475
4611421,04:54.8,CA,ON,Peterborough,44.3311,-78.3331,POI3,45.521629,-73.566024,398.8515,398.8515
4611578,04:54.8,CA,ON,Georgetown,43.6501,-79.9163,POI3,45.521629,-73.566024,545.29474,545.29474
4611653,04:55.6,CA,ON,Mississauga,43.5924,-79.7611,POI3,45.521629,-73.566024,536.6803,536.6803
4611743,04:53.9,CA,QC,Montréal,45.5172,-73.5789,POI3,45.521629,-73.566024,1.1199905,1.1199905
4611831,04:54.6,CA,MB,Winnipeg,49.7838,-97.0973,POI1,53.546167,-113.485734,1205.3613,1205.3613
4611866,04:54.8,CA,QC,Montréal,45.47164,-73.60464,POI3,45.521629,-73.566024,6.3228006,6.3228006
4611925,04:54.9,CA,ON,Ottawa,45.349,-75.6615,POI3,45.521629,-73.566024,165.0796,165.0796
4612004,04:54.9,CA,ON,Ancaster,43.212,-79.996,POI3,45.521629,-73.566024,572.96313,572.96313
4612093,04:55.0,CA,ON,Niagara Falls,43.0966,-79.1276,POI3,45.521629,-73.566024,518.9766,518.9766
4612103,04:55.7,CA,SK,Saskatoon,52.1218,-106.645,POI1,53.546167,-113.485734,487.28094,487.28094
4612190,04:56.4,CA,BC,Victoria,48.46955,-123.38264,POI1,53.546167,-113.485734,893.8519,893.8519
4612201,04:58.3,CA,ON,Scarborough,43.798,-79.227,POI3,45.521629,-73.566024,487.98785,487.98785
4612241,04:56.8,CA,ON,Oakville,43.4934,-79.7126,POI3,45.521629,-73.566024,538.03754,538.03754
4612313,04:58.4,CA,AB,Edmonton,53.55,-113.5,POI1,53.546167,-113.485734,1.037381,1.037381
4612366,05:00.0,CA,ON,Lindsay,44.357,-78.7405,POI3,45.521629,-73.566024,428.34528,428.34528
4612384,04:56.5,CA,ON,North York,43.76943,-79.4135,POI3,45.521629,-73.566024,502.93912,502.93912
